name,area
SuperScan (HAADF) 38,48.0
SuperScan (HAADF) 38,8.0
SuperScan (HAADF) 38,24.5
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,20.5
SuperScan (HAADF) 38,27.5
SuperScan (HAADF) 38,30.5
SuperScan (HAADF) 38,54.0
SuperScan (HAADF) 38,20.0
SuperScan (HAADF) 38,28.0
SuperScan (HAADF) 38,20.5
SuperScan (HAADF) 38,21.5
SuperScan (HAADF) 38,40.0
SuperScan (HAADF) 38,37.5
SuperScan (HAADF) 38,16.0
SuperScan (HAADF) 38,8.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,24.5
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,24.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,11.5
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,24.5
SuperScan (HAADF) 38,21.5
SuperScan (HAADF) 38,36.5
SuperScan (HAADF) 38,70.5
SuperScan (HAADF) 38,32.0
SuperScan (HAADF) 38,20.5
SuperScan (HAADF) 38,29.0
SuperScan (HAADF) 38,31.0
SuperScan (HAADF) 38,33.5
SuperScan (HAADF) 38,33.0
SuperScan (HAADF) 38,26.5
SuperScan (HAADF) 38,21.5
SuperScan (HAADF) 38,60.5
SuperScan (HAADF) 38,18.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,26.5
SuperScan (HAADF) 38,3.0
SuperScan (HAADF) 38,20.0
SuperScan (HAADF) 38,42.0
SuperScan (HAADF) 38,36.5
SuperScan (HAADF) 38,18.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,8.0
SuperScan (HAADF) 38,3.5
SuperScan (HAADF) 38,15.5
SuperScan (HAADF) 38,2.5
SuperScan (HAADF) 38,16.0
SuperScan (HAADF) 38,33.0
SuperScan (HAADF) 38,4.5
SuperScan (HAADF) 38,13.5
SuperScan (HAADF) 38,19.0
SuperScan (HAADF) 38,11.0
SuperScan (HAADF) 38,8.0
SuperScan (HAADF) 38,26.5
SuperScan (HAADF) 38,36.5
SuperScan (HAADF) 38,1.5
SuperScan (HAADF) 38,45.5
SuperScan (HAADF) 38,16.0
SuperScan (HAADF) 38,16.5
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,6.0
SuperScan (HAADF) 38,19.5
SuperScan (HAADF) 38,0.5
SuperScan (HAADF) 38,6.5
SuperScan (HAADF) 38,60.0
SuperScan (HAADF) 38,3.5
SuperScan (HAADF) 38,9.0
SuperScan (HAADF) 38,40.0
SuperScan (HAADF) 38,25.5
SuperScan (HAADF) 38,50.0
SuperScan (HAADF) 38,26.5
SuperScan (HAADF) 38,13.5
SuperScan (HAADF) 38,33.5
SuperScan (HAADF) 38,5.0
SuperScan (HAADF) 38,10.0
SuperScan (HAADF) 38,4.0
SuperScan (HAADF) 38,25.0
SuperScan (HAADF) 38,67.0
SuperScan (HAADF) 38,29.5
SuperScan (HAADF) 38,23.5
SuperScan (HAADF) 38,24.0
SuperScan (HAADF) 38,33.0
SuperScan (HAADF) 38,34.5
SuperScan (HAADF) 38,31.0
SuperScan (HAADF) 38,44.0
SuperScan (HAADF) 38,40.0
SuperScan (HAADF) 38,2.5
SuperScan (HAADF) 38,41.0
SuperScan (HAADF) 38,35.5
SuperScan (HAADF) 38,51.0
SuperScan (HAADF) 38,32.5
SuperScan (HAADF) 38,5.0
SuperScan (HAADF) 38,13.5
SuperScan (HAADF) 38,42.0
SuperScan (HAADF) 38,30.0
SuperScan (HAADF) 38,45.0
SuperScan (HAADF) 38,26.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,35.5
SuperScan (HAADF) 38,39.5
SuperScan (HAADF) 38,33.5
SuperScan (HAADF) 38,7.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,1.5
SuperScan (HAADF) 38,9.5
SuperScan (HAADF) 38,14.0
SuperScan (HAADF) 38,43.0
SuperScan (HAADF) 38,0.5
SuperScan (HAADF) 38,29.0
SuperScan (HAADF) 38,8.5
SuperScan (HAADF) 38,29.0
SuperScan (HAADF) 38,3.0
SuperScan (HAADF) 38,26.5
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,36.5
SuperScan (HAADF) 38,33.0
SuperScan (HAADF) 38,41.0
SuperScan (HAADF) 38,9.5
SuperScan (HAADF) 38,33.0
SuperScan (HAADF) 38,16.5
SuperScan (HAADF) 38,22.0
SuperScan (HAADF) 38,23.0
SuperScan (HAADF) 38,36.5
SuperScan (HAADF) 38,52.5
SuperScan (HAADF) 38,7.0
SuperScan (HAADF) 38,14.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,8.0
SuperScan (HAADF) 38,32.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,33.5
SuperScan (HAADF) 38,10.5
SuperScan (HAADF) 38,43.0
SuperScan (HAADF) 38,22.0
SuperScan (HAADF) 38,37.0
SuperScan (HAADF) 38,0.5
SuperScan (HAADF) 38,36.5
SuperScan (HAADF) 38,11.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,14.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,41.0
SuperScan (HAADF) 38,27.5
SuperScan (HAADF) 38,9.0
SuperScan (HAADF) 38,85.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,92.5
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,60.5
SuperScan (HAADF) 38,7.5
SuperScan (HAADF) 38,69.5
SuperScan (HAADF) 38,41.5
SuperScan (HAADF) 38,10.5
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,2.5
SuperScan (HAADF) 38,36.0
SuperScan (HAADF) 38,9.5
SuperScan (HAADF) 38,20.0
SuperScan (HAADF) 38,31.5
SuperScan (HAADF) 38,29.5
SuperScan (HAADF) 38,37.0
SuperScan (HAADF) 38,18.0
SuperScan (HAADF) 38,19.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,29.5
SuperScan (HAADF) 38,7.0
SuperScan (HAADF) 38,34.5
SuperScan (HAADF) 38,58.5
SuperScan (HAADF) 38,26.0
SuperScan (HAADF) 38,32.0
SuperScan (HAADF) 38,34.5
SuperScan (HAADF) 38,5.0
SuperScan (HAADF) 38,43.0
SuperScan (HAADF) 38,25.5
SuperScan (HAADF) 38,4.0
SuperScan (HAADF) 38,26.0
SuperScan (HAADF) 38,6.5
SuperScan (HAADF) 38,9.0
SuperScan (HAADF) 38,31.0
SuperScan (HAADF) 38,43.5
SuperScan (HAADF) 38,22.5
SuperScan (HAADF) 38,87.5
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,41.0
SuperScan (HAADF) 38,40.5
SuperScan (HAADF) 38,69.5
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,1.5
SuperScan (HAADF) 38,16.5
SuperScan (HAADF) 38,45.5
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,25.5
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,38.5
SuperScan (HAADF) 38,10.5
SuperScan (HAADF) 38,47.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,40.0
SuperScan (HAADF) 38,5.5
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,6.5
SuperScan (HAADF) 38,35.5
SuperScan (HAADF) 38,27.5
SuperScan (HAADF) 38,18.0
SuperScan (HAADF) 38,35.5
SuperScan (HAADF) 38,16.0
SuperScan (HAADF) 38,37.5
SuperScan (HAADF) 38,15.5
SuperScan (HAADF) 38,11.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,25.0
SuperScan (HAADF) 38,27.5
SuperScan (HAADF) 38,36.5
SuperScan (HAADF) 38,19.5
SuperScan (HAADF) 38,13.0
SuperScan (HAADF) 38,27.0
SuperScan (HAADF) 38,10.0
SuperScan (HAADF) 38,29.0
SuperScan (HAADF) 38,5.5
SuperScan (HAADF) 38,18.0
SuperScan (HAADF) 38,24.5
SuperScan (HAADF) 38,34.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,6.0
SuperScan (HAADF) 38,26.5
SuperScan (HAADF) 38,9.5
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,24.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,1.5
SuperScan (HAADF) 38,60.5
SuperScan (HAADF) 38,5.0
SuperScan (HAADF) 38,36.0
SuperScan (HAADF) 38,39.5
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,34.0
SuperScan (HAADF) 38,28.0
SuperScan (HAADF) 38,41.0
SuperScan (HAADF) 38,3.0
SuperScan (HAADF) 38,48.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,1.5
SuperScan (HAADF) 38,17.5
SuperScan (HAADF) 38,1.0
SuperScan (HAADF) 38,25.0
SuperScan (HAADF) 38,1.0
SuperScan (HAADF) 38,23.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,10.0
SuperScan (HAADF) 38,39.5
SuperScan (HAADF) 38,38.0
SuperScan (HAADF) 38,20.5
SuperScan (HAADF) 38,31.5
SuperScan (HAADF) 38,28.5
SuperScan (HAADF) 38,62.5
SuperScan (HAADF) 38,29.5
SuperScan (HAADF) 38,40.0
SuperScan (HAADF) 38,6.5
SuperScan (HAADF) 38,23.5
SuperScan (HAADF) 38,7.5
SuperScan (HAADF) 38,29.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,17.5
SuperScan (HAADF) 38,17.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,28.0
SuperScan (HAADF) 38,2.5
SuperScan (HAADF) 38,57.5
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,35.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,4.0
SuperScan (HAADF) 38,50.5
SuperScan (HAADF) 38,19.5
SuperScan (HAADF) 38,29.5
SuperScan (HAADF) 38,28.5
SuperScan (HAADF) 38,4.5
SuperScan (HAADF) 38,12.5
SuperScan (HAADF) 38,43.5
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,31.0
SuperScan (HAADF) 38,28.5
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,3.5
SuperScan (HAADF) 38,56.5
SuperScan (HAADF) 38,11.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,41.5
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,6.5
SuperScan (HAADF) 38,46.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,30.5
SuperScan (HAADF) 38,23.0
SuperScan (HAADF) 38,34.5
SuperScan (HAADF) 38,0.5
SuperScan (HAADF) 38,32.5
SuperScan (HAADF) 38,16.0
SuperScan (HAADF) 38,31.0
SuperScan (HAADF) 38,12.0
SuperScan (HAADF) 38,8.0
SuperScan (HAADF) 38,22.0
SuperScan (HAADF) 38,30.0
SuperScan (HAADF) 38,18.5
SuperScan (HAADF) 38,21.0
SuperScan (HAADF) 38,21.5
SuperScan (HAADF) 38,57.0
SuperScan (HAADF) 38,15.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,37.0
SuperScan (HAADF) 38,34.0
SuperScan (HAADF) 38,44.0
SuperScan (HAADF) 38,10.0
SuperScan (HAADF) 38,52.0
SuperScan (HAADF) 38,27.0
SuperScan (HAADF) 38,21.5
SuperScan (HAADF) 38,20.0
SuperScan (HAADF) 38,22.5
SuperScan (HAADF) 38,4.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,27.0
SuperScan (HAADF) 38,29.0
SuperScan (HAADF) 38,24.5
SuperScan (HAADF) 38,17.0
SuperScan (HAADF) 38,16.0
SuperScan (HAADF) 38,40.0
SuperScan (HAADF) 38,24.0
SuperScan (HAADF) 38,27.5
SuperScan (HAADF) 38,1.5
SuperScan (HAADF) 38,27.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,13.0
SuperScan (HAADF) 38,76.5
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,21.0
SuperScan (HAADF) 38,32.5
SuperScan (HAADF) 38,17.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,28.0
SuperScan (HAADF) 38,49.0
SuperScan (HAADF) 38,17.0
SuperScan (HAADF) 38,14.0
SuperScan (HAADF) 38,3.5
SuperScan (HAADF) 38,31.5
SuperScan (HAADF) 38,38.0
SuperScan (HAADF) 38,27.5
SuperScan (HAADF) 38,18.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,43.0
SuperScan (HAADF) 38,23.0
SuperScan (HAADF) 38,27.0
SuperScan (HAADF) 38,28.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,13.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,22.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,37.5
SuperScan (HAADF) 38,32.5
SuperScan (HAADF) 38,18.5
SuperScan (HAADF) 38,37.0
SuperScan (HAADF) 38,26.0
SuperScan (HAADF) 38,79.0
SuperScan (HAADF) 38,24.0
SuperScan (HAADF) 38,37.5
SuperScan (HAADF) 38,14.0
SuperScan (HAADF) 38,34.0
SuperScan (HAADF) 38,27.5
SuperScan (HAADF) 38,26.0
SuperScan (HAADF) 38,3.5
SuperScan (HAADF) 38,20.5
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,27.5
SuperScan (HAADF) 38,30.0
SuperScan (HAADF) 38,25.0
SuperScan (HAADF) 38,58.0
SuperScan (HAADF) 38,24.0
SuperScan (HAADF) 38,27.5
SuperScan (HAADF) 38,34.0
SuperScan (HAADF) 38,57.0
SuperScan (HAADF) 38,28.5
SuperScan (HAADF) 38,59.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,27.0
SuperScan (HAADF) 38,25.0
SuperScan (HAADF) 38,23.5
SuperScan (HAADF) 38,24.5
SuperScan (HAADF) 38,18.5
SuperScan (HAADF) 38,28.5
SuperScan (HAADF) 38,42.5
SuperScan (HAADF) 38,59.5
SuperScan (HAADF) 38,26.5
SuperScan (HAADF) 38,7.5
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,30.5
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,44.0
SuperScan (HAADF) 38,25.5
SuperScan (HAADF) 38,8.0
SuperScan (HAADF) 38,25.0
SuperScan (HAADF) 38,31.0
SuperScan (HAADF) 38,48.5
SuperScan (HAADF) 38,38.0
SuperScan (HAADF) 38,8.5
SuperScan (HAADF) 38,45.5
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,1.0
SuperScan (HAADF) 38,80.5
SuperScan (HAADF) 38,35.0
SuperScan (HAADF) 38,31.5
SuperScan (HAADF) 38,6.5
SuperScan (HAADF) 38,36.5
SuperScan (HAADF) 38,31.5
SuperScan (HAADF) 38,22.0
SuperScan (HAADF) 38,51.0
SuperScan (HAADF) 38,23.0
SuperScan (HAADF) 38,28.5
SuperScan (HAADF) 38,31.5
SuperScan (HAADF) 38,11.0
SuperScan (HAADF) 38,1.5
SuperScan (HAADF) 38,45.5
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,28.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,35.5
SuperScan (HAADF) 38,0.5
SuperScan (HAADF) 38,27.5
SuperScan (HAADF) 38,27.0
SuperScan (HAADF) 38,33.5
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,9.5
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,18.0
SuperScan (HAADF) 38,46.5
SuperScan (HAADF) 38,78.0
SuperScan (HAADF) 38,30.0
SuperScan (HAADF) 38,21.5
SuperScan (HAADF) 38,29.0
SuperScan (HAADF) 38,19.0
SuperScan (HAADF) 38,10.0
SuperScan (HAADF) 38,0.5
SuperScan (HAADF) 38,34.0
SuperScan (HAADF) 38,15.0
SuperScan (HAADF) 38,34.5
SuperScan (HAADF) 38,23.0
SuperScan (HAADF) 38,46.5
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,29.5
SuperScan (HAADF) 38,33.5
SuperScan (HAADF) 38,35.5
SuperScan (HAADF) 38,26.5
SuperScan (HAADF) 38,10.0
SuperScan (HAADF) 38,20.0
SuperScan (HAADF) 38,22.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,36.0
SuperScan (HAADF) 38,64.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,39.5
SuperScan (HAADF) 38,22.5
SuperScan (HAADF) 38,4.0
SuperScan (HAADF) 38,33.0
SuperScan (HAADF) 38,24.0
SuperScan (HAADF) 38,27.5
SuperScan (HAADF) 38,35.0
SuperScan (HAADF) 38,24.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,22.5
SuperScan (HAADF) 38,11.5
SuperScan (HAADF) 38,35.0
SuperScan (HAADF) 38,22.5
SuperScan (HAADF) 38,47.5
SuperScan (HAADF) 38,33.5
SuperScan (HAADF) 38,28.5
SuperScan (HAADF) 38,16.0
SuperScan (HAADF) 38,29.0
SuperScan (HAADF) 38,7.5
SuperScan (HAADF) 38,22.0
SuperScan (HAADF) 38,27.0
SuperScan (HAADF) 38,21.5
SuperScan (HAADF) 38,19.0
SuperScan (HAADF) 38,25.5
SuperScan (HAADF) 38,35.5
SuperScan (HAADF) 38,2.5
SuperScan (HAADF) 38,42.5
SuperScan (HAADF) 38,37.0
SuperScan (HAADF) 38,4.0
SuperScan (HAADF) 38,35.0
SuperScan (HAADF) 38,5.0
SuperScan (HAADF) 38,35.0
SuperScan (HAADF) 38,34.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,17.0
SuperScan (HAADF) 38,19.5
SuperScan (HAADF) 38,35.5
SuperScan (HAADF) 38,31.5
SuperScan (HAADF) 38,42.5
SuperScan (HAADF) 38,20.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,6.0
SuperScan (HAADF) 38,27.5
SuperScan (HAADF) 38,27.5
SuperScan (HAADF) 38,46.5
SuperScan (HAADF) 38,61.0
SuperScan (HAADF) 38,16.5
SuperScan (HAADF) 38,41.5
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,48.0
SuperScan (HAADF) 38,11.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,22.5
SuperScan (HAADF) 38,40.0
SuperScan (HAADF) 38,29.5
SuperScan (HAADF) 38,36.5
SuperScan (HAADF) 38,49.5
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,43.0
SuperScan (HAADF) 38,26.0
SuperScan (HAADF) 38,13.0
SuperScan (HAADF) 38,37.0
SuperScan (HAADF) 38,1.5
SuperScan (HAADF) 38,8.5
SuperScan (HAADF) 38,14.0
SuperScan (HAADF) 38,58.0
SuperScan (HAADF) 38,38.5
SuperScan (HAADF) 38,19.0
SuperScan (HAADF) 38,11.5
SuperScan (HAADF) 38,14.5
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,22.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,13.0
SuperScan (HAADF) 38,18.5
SuperScan (HAADF) 38,3.0
SuperScan (HAADF) 38,25.0
SuperScan (HAADF) 38,7.0
SuperScan (HAADF) 38,21.5
SuperScan (HAADF) 38,18.0
SuperScan (HAADF) 38,4.0
SuperScan (HAADF) 38,71.0
SuperScan (HAADF) 38,33.5
SuperScan (HAADF) 38,31.5
SuperScan (HAADF) 38,10.0
SuperScan (HAADF) 38,42.0
SuperScan (HAADF) 38,30.0
SuperScan (HAADF) 38,33.0
SuperScan (HAADF) 38,24.0
SuperScan (HAADF) 38,49.5
SuperScan (HAADF) 38,24.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,46.0
SuperScan (HAADF) 38,9.0
SuperScan (HAADF) 38,34.5
SuperScan (HAADF) 38,35.5
SuperScan (HAADF) 38,13.5
SuperScan (HAADF) 38,31.5
SuperScan (HAADF) 38,22.0
SuperScan (HAADF) 38,43.5
SuperScan (HAADF) 38,45.5
SuperScan (HAADF) 38,31.0
SuperScan (HAADF) 38,49.0
SuperScan (HAADF) 38,29.0
SuperScan (HAADF) 38,20.5
SuperScan (HAADF) 38,52.5
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,9.0
SuperScan (HAADF) 38,30.0
SuperScan (HAADF) 38,34.5
SuperScan (HAADF) 38,31.5
SuperScan (HAADF) 38,30.5
SuperScan (HAADF) 38,27.5
SuperScan (HAADF) 38,40.5
SuperScan (HAADF) 38,18.0
SuperScan (HAADF) 38,37.0
SuperScan (HAADF) 38,33.0
SuperScan (HAADF) 38,39.0
SuperScan (HAADF) 38,4.5
SuperScan (HAADF) 38,35.5
SuperScan (HAADF) 38,29.0
SuperScan (HAADF) 38,17.5
SuperScan (HAADF) 38,49.5
SuperScan (HAADF) 38,63.5
SuperScan (HAADF) 38,20.0
SuperScan (HAADF) 38,0.5
SuperScan (HAADF) 38,38.5
SuperScan (HAADF) 38,40.0
SuperScan (HAADF) 38,17.0
SuperScan (HAADF) 38,51.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,23.5
SuperScan (HAADF) 38,24.5
SuperScan (HAADF) 38,71.5
SuperScan (HAADF) 38,61.0
SuperScan (HAADF) 38,4.5
SuperScan (HAADF) 38,4.5
SuperScan (HAADF) 38,40.5
SuperScan (HAADF) 38,36.0
SuperScan (HAADF) 38,40.0
SuperScan (HAADF) 38,4.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,35.0
SuperScan (HAADF) 38,11.5
SuperScan (HAADF) 38,20.5
SuperScan (HAADF) 38,25.0
SuperScan (HAADF) 38,33.0
SuperScan (HAADF) 38,36.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,32.0
SuperScan (HAADF) 38,23.5
SuperScan (HAADF) 38,5.5
SuperScan (HAADF) 38,32.5
SuperScan (HAADF) 38,25.5
SuperScan (HAADF) 38,40.0
SuperScan (HAADF) 38,8.5
SuperScan (HAADF) 38,31.5
SuperScan (HAADF) 38,30.0
SuperScan (HAADF) 38,0.5
SuperScan (HAADF) 38,19.5
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,58.5
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,46.5
SuperScan (HAADF) 38,39.5
SuperScan (HAADF) 38,22.5
SuperScan (HAADF) 38,37.0
SuperScan (HAADF) 38,30.5
SuperScan (HAADF) 38,17.5
SuperScan (HAADF) 38,54.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,27.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,25.5
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,16.5
SuperScan (HAADF) 38,25.0
SuperScan (HAADF) 38,3.0
SuperScan (HAADF) 38,15.5
SuperScan (HAADF) 38,25.0
SuperScan (HAADF) 38,13.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,29.5
SuperScan (HAADF) 38,67.5
SuperScan (HAADF) 38,34.0
SuperScan (HAADF) 38,28.0
SuperScan (HAADF) 38,2.5
SuperScan (HAADF) 38,22.5
SuperScan (HAADF) 38,25.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,26.5
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,37.0
SuperScan (HAADF) 38,32.0
SuperScan (HAADF) 38,39.0
SuperScan (HAADF) 38,1.0
SuperScan (HAADF) 38,29.0
SuperScan (HAADF) 38,14.0
SuperScan (HAADF) 38,18.0
SuperScan (HAADF) 38,15.0
SuperScan (HAADF) 38,21.0
SuperScan (HAADF) 38,29.5
SuperScan (HAADF) 38,1.5
SuperScan (HAADF) 38,13.0
SuperScan (HAADF) 38,17.0
SuperScan (HAADF) 38,8.5
SuperScan (HAADF) 38,13.0
SuperScan (HAADF) 38,31.0
SuperScan (HAADF) 38,140.5
SuperScan (HAADF) 38,4.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,4.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,8.5
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,4.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,49.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,27.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,25.0
SuperScan (HAADF) 38,14.0
SuperScan (HAADF) 38,11.5
SuperScan (HAADF) 38,17.5
SuperScan (HAADF) 38,28.5
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,23.5
SuperScan (HAADF) 38,2.5
SuperScan (HAADF) 38,11.0
SuperScan (HAADF) 38,1.0
SuperScan (HAADF) 38,15.5
SuperScan (HAADF) 38,44.0
SuperScan (HAADF) 38,33.5
SuperScan (HAADF) 38,28.5
SuperScan (HAADF) 38,34.0
SuperScan (HAADF) 38,0.5
SuperScan (HAADF) 38,46.0
SuperScan (HAADF) 38,42.5
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,1.5
SuperScan (HAADF) 38,28.0
SuperScan (HAADF) 38,36.0
SuperScan (HAADF) 38,6.5
SuperScan (HAADF) 38,8.0
SuperScan (HAADF) 38,16.5
SuperScan (HAADF) 38,27.5
SuperScan (HAADF) 38,43.0
SuperScan (HAADF) 38,36.5
SuperScan (HAADF) 38,57.0
SuperScan (HAADF) 38,19.0
SuperScan (HAADF) 38,18.5
SuperScan (HAADF) 38,28.0
SuperScan (HAADF) 38,23.5
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,50.5
SuperScan (HAADF) 38,35.5
SuperScan (HAADF) 38,28.0
SuperScan (HAADF) 38,24.5
SuperScan (HAADF) 38,22.5
SuperScan (HAADF) 38,34.0
SuperScan (HAADF) 38,29.0
SuperScan (HAADF) 38,35.5
SuperScan (HAADF) 38,32.5
SuperScan (HAADF) 38,38.0
SuperScan (HAADF) 38,20.5
SuperScan (HAADF) 38,15.0
SuperScan (HAADF) 38,37.5
SuperScan (HAADF) 38,49.0
SuperScan (HAADF) 38,16.0
SuperScan (HAADF) 38,15.0
SuperScan (HAADF) 38,2.0
SuperScan (HAADF) 38,44.0
SuperScan (HAADF) 38,36.0
SuperScan (HAADF) 38,54.5
SuperScan (HAADF) 38,30.0
SuperScan (HAADF) 38,5.5
SuperScan (HAADF) 38,17.0
SuperScan (HAADF) 38,13.5
SuperScan (HAADF) 38,18.0
SuperScan (HAADF) 38,44.5
SuperScan (HAADF) 38,1.5
SuperScan (HAADF) 38,32.5
SuperScan (HAADF) 38,16.5
SuperScan (HAADF) 38,30.0
SuperScan (HAADF) 38,37.5
SuperScan (HAADF) 38,1.5
SuperScan (HAADF) 38,36.5
SuperScan (HAADF) 38,21.0
SuperScan (HAADF) 38,19.0
SuperScan (HAADF) 38,257.5
